,NDX,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CDW,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DOCU,DLTR,EBAY,EA,EXC,EXPE,FB,FAST,FISV,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,JD,KLAC,KHC,LRCX,LBTYA,LBTYK,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MRNA,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,PDD,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,XLNX
1/16/20,9125,60.03516,345.380005,49.77,112.510002,285.029999,1450.160034,1451.699951,1877.939941,232.30394,116.723198,266.809998,78.018631,62.368633,298.405396,192.5,170.727386,139.490005,286.140015,89.129997,2054.75,293.63736,73.059998,142.365387,74.759315,508.779999,114.779999,282.919861,47.384651,115.618126,61.42017,45.84906,97.209999,292.231415,75.730782,234.410004,73.080002,91.080002,35.410896,111.111946,45.025246,111.32637,221.770004,35.876656,120.209999,60.733459,289.920013,325.959991,80.620003,57.861317,274.875031,598.289978,39.560001,177.21489,30.082697,300.983215,21.469999,20.610001,243.710007,148.424866,60.521584,666.460022,107.050423,57.68,164.050278,21.01,53.955585,67.099998,69.260429,338.619995,248.519913,132.426743,441.070007,76.433334,84.497261,115.400002,135.656693,39.509998,89.498489,385.570007,117.687576,107.660004,7.118834,120.958794,160.320007,90.324631,149.690002,81.440002,127.639999,102.697998,125.677391,38.450001,277,213.539993,159.547989,235.5,51.625942,182.779999,67.782104,63.364368,99.829727
1/17/20,9173.730469,60.839867,349.73999,50.93,113.269997,280.700012,1479.52002,1480.390015,1864.719971,233.260208,117.056335,270.279999,78.88237,62.013424,297.374664,193.350006,172.670105,139.610001,285.5,88.269997,2054.689941,295.301392,73.730003,135.108887,75.036278,502.730011,113.75,280.668427,47.355667,115.95446,61.73489,46.465336,97.120003,293.822601,75.395256,230.789993,72.529999,91.550003,35.312313,112.779724,45.651398,111.406075,222.139999,35.386238,120.68,60.522041,285.799988,324.720001,80.5,57.803123,280.811951,600.030029,40.349998,175.079407,29.419039,302.999908,21.15,20.360001,241.25,149.659897,59.945282,673.01001,107.630829,57.66,164.96843,20.620001,53.926258,67.309998,69.199104,339.670013,248.869354,132.091187,440.679993,76.394417,84.756584,116.040001,137.259964,39.43,93.515633,385.940002,117.31871,109,7.089174,122.020088,157.960007,91.339294,151.860001,82.150002,130.009995,102.099998,127.16436,38.939999,272.890015,214,159.538055,235.830002,51.616455,181.059998,67.377403,63.695663,101.336624
1/21/20,9166.629883,61.018688,350,51.049999,113.010002,273.170013,1482.25,1484.400024,1892,229.502762,116.899559,273.820007,78.347801,62.358765,295.749207,195.839996,172.016022,137.100006,287.190002,87.550003,1990.569946,294.612793,74.599998,134.348709,74.986824,503.589996,113.889999,278.505859,47.143139,116.57766,61.262802,46.269691,98.599998,302.096863,73.845901,231.619995,73.129997,89.5,35.213734,112.260414,45.834431,109.762184,221.440002,34.453506,120.610001,60.185711,284.839996,328.329987,78.650002,58.724487,282.956421,601.650024,40.060001,175.157761,29.400078,303.668854,20.34,19.549999,242.520004,143.793427,60.5802,658.460022,107.463593,58.970001,164.376068,20.940001,54.29776,66.82,67.416809,338.109985,247.531555,132.209625,440.600006,75.440941,85.150406,116.150002,137.843002,39.34,92.179832,363.709991,117.438347,108.669998,7.069399,121.656502,157.100006,90.275841,153.580002,82.029999,130.389999,109.440002,126.353294,35.860001,272.01001,214.440002,160.28331,233.990005,51.104179,182.309998,67.900551,64.309525,100.115349
1/22/20,9188.580078,59.925877,350.059998,51.43,111.400002,279.309998,1483.869995,1485.949951,1887.459961,228.681732,117.987144,274.730011,78.627464,63.039577,293.618317,194.729996,174.095459,134.800003,288.100006,87.589996,2000.780029,299.298798,74.800003,134.842346,74.699974,510.5,114.879997,278.802094,47.403976,117.873512,61.164452,46.406639,99.639999,300.775726,73.628799,235.649994,74.400002,89.870003,35.381325,112.939507,45.911495,109.622704,221.320007,34.549664,122.040001,60.925652,287.619995,330.950012,78.480003,60.83876,288.188416,610.23999,40.970001,176.450821,29.07773,306.285675,20.16,19.290001,244.300003,143.544418,61.049053,663.150024,107.5718,59.169998,163.586273,21.969999,54.229324,67.489998,67.286247,326,249.697983,132.880753,435.709991,74.857201,86.120537,115.5,139.319946,38.790001,90.649025,359.140015,117.049538,111.720001,7.118834,122.79641,156.440002,90.275841,153.429993,82.489998,130.110001,113.912003,128.747864,34.450001,273.970001,214.089996,162.558884,234.610001,50.67728,182.410004,67.782104,64.523895,99.76078
1/23/20,9216.980469,59.737122,351.76001,51.709999,108.550003,270.779999,1484.689941,1486.650024,1884.579956,227.029999,118.418251,277.709991,79.006119,63.039577,291.705475,198.600006,173.607315,134.199997,284.209991,85.629997,1993.199951,305.686951,75.419998,136.964981,74.858231,513.140015,115.510002,282.435974,47.336349,127.092896,61.518517,44.655632,99.900002,301.730408,75.632095,235.600006,74.330002,87.940002,35.105289,113.328995,46.190857,113.309013,219.759995,34.674671,122.230003,61.444576,285.899994,327,78.239998,61.410973,286.50061,615,40.77,178.821381,29.08721,307.348175,20.26,19.309999,243.059998,144.381088,62.113747,663.330017,108.46701,59.200001,164.593262,21.469999,54.199989,67.769997,66.255638,349.600006,252.443451,134.627609,436.049988,75.499329,86.110939,117.889999,139.582306,38.369999,89.703239,356.600006,117.847084,115.349998,7.079286,125.97049,157.839996,91.466125,154.960007,82.18,129.070007,114.440002,129.626541,34.259998,272.200012,215.020004,164.059357,233.910004,50.563442,184.380005,70.012878,65.186478,100.863876
1/24/20,9141.469727,59.01189,351.369995,50.349998,105.269997,269.980011,1466.170044,1466.709961,1861.640015,217.902069,115.194717,277.339996,78.778435,61.174736,293.202026,199.190002,173.002045,130,278.140015,86.150002,1962.959961,309.846954,74.580002,136.165283,73.651482,504.670013,115.480003,279.888336,47.191448,126.875267,61.390656,43.618721,100.290001,299.444855,75.691307,233.940002,74.18,87.709999,34.858837,112.180519,45.978924,111.724892,217.940002,34.155415,120.839996,60.68541,280.769989,319.579987,76.739998,66.405708,286.004272,589.200012,39.549999,175.735703,28.831228,301.563599,20.51,19.41,240.350006,140.456818,61.107662,660.580017,105.47644,57.759998,162.934692,21.120001,53.857826,67.099998,64.912483,353.160004,250.067352,133.512375,430.769989,74.711243,85.400154,116.980003,138.872986,37.34,87.411911,345.279999,115.404602,113.57,7.02985,120.192299,157,89.788033,154.050003,81.580002,125.279999,112.963997,126.025002,31.9,272.980011,212.75,164.258102,229.059998,49.368134,186.070007,68.621109,65.449547,99.278183
1/27/20,8952.179688,57.938946,346.899994,49.259998,105.300003,260.910004,1431.72998,1433.900024,1828.339966,215.35202,109.943008,270.700012,76.461929,58.264004,281.754669,195.869995,171.566956,126.279999,281.140015,84.620003,1908.890015,295.530884,72.620003,132.166809,72.612885,504.079987,114.330002,275.128723,45.858299,125.529945,60.751381,43.041576,99.5,298.422607,74.181419,235.449997,72.769997,88.400002,34.977131,110.412872,45.535805,108.676224,214.869995,33.895786,119.300003,61.338871,277.309998,313.920013,76.07,63.709522,281.715424,567.5,37.650002,166.831375,28.774345,289.02063,20.82,19.799999,236.740005,137.448868,58.890362,653.859985,101.305389,55.41,160.209885,22.74,53.46677,66.599998,63.71769,342.880005,239.804306,128.745499,426.809998,73.135109,84.24752,115.239998,138.115067,36.59,84.876823,339.420013,114.497398,110.43,7.039737,114.856308,153.589996,86.56842,150.380005,80.720001,123.07,111.603996,121.959991,31.450001,273.700012,209.770004,162.916611,227.369995,49.548382,183.960007,65.798096,65.205963,95.535545
1/28/20,9090.929688,59.637772,354.630005,50.529999,106.970001,267.820007,1450.5,1452.560059,1853.25,217.177612,112.00058,278.359985,78.624992,59.388828,287.602234,200.029999,174.066177,126.93,281.950012,85.889999,1917.449951,304.405518,74.18,133.736588,72.701904,499.339996,113.769997,274.47699,46.148113,124.194527,61.567692,43.080704,100.709999,299.772766,75.217628,234.940002,74.93,86.760002,35.696789,111.751091,45.978924,108.706108,217.789993,34.395813,120.43,61.848186,278.640015,314.279999,76.459999,65.280678,286.083679,569.72998,38.91,172.336594,28.565763,296.792358,21.040001,20.09,239.350006,140.685898,60.648571,674.719971,102.505554,56.470001,163.34935,22.360001,53.623192,66.879997,64.861069,348.519989,247.561493,130.94635,428.059998,74.69178,85.160011,116.519997,138.40657,36.959999,86.924393,344.079987,114.12854,112.93,7.049624,117.715927,155.570007,86.441589,152.050003,81.660004,125.970001,113.379997,123.630402,32.950001,273.869995,210.970001,163.771194,231.970001,50.070145,186.679993,67.525467,65.498283,97.121239
1/29/20,9101.610352,60.005356,351.660004,47.509998,106.940002,261.600006,1456.699951,1458.630005,1858,219.408905,110.942406,277.720001,80.27079,59.023754,293.509308,199.740005,166.978546,126.470001,282.519989,86.360001,1893.949951,303.640472,73.139999,133.144226,71.495148,490.73999,113.949997,276.738281,45.45256,121.681953,61.882412,42.376389,100.720001,298.547974,76.510391,238.539993,76.919998,86.110001,34.08989,112.060677,46.055992,109.144485,223.229996,34.520817,120.040001,61.790527,280.799988,313.299988,74.989998,64.330231,283.859833,571.409973,39.139999,168.212601,28.082241,293.378662,20.610001,19.620001,243.660004,142.040466,60.10157,668.609985,100.793846,55.299999,165.896423,20.549999,53.33968,66.550003,65.941124,343.160004,245.135498,130.92662,424.130005,74.049667,83.94976,116.660004,137.71666,36.740002,86.027359,339.25,113.919174,111.809998,7.000188,115.848824,155.619995,84.607384,150.440002,80.260002,125.910004,116.197998,121.168228,32.860001,273.980011,212.130005,163.145157,232.410004,49.59581,183.610001,65.896797,65.693161,86.730515
1/30/20,9136.089844,60.492153,356.73999,48.779999,100.300003,262.890015,1454.25,1455.839966,1870.680054,218.442963,110.099777,280.140015,80.154472,59.448029,291.764954,198.990005,170.854279,125.739998,277.529999,85.199997,1872.089966,301.431396,73.160004,132.127335,71.989716,492.980011,114.370003,279.651367,45.636108,121.217018,61.439835,43.178524,102.349998,298.441925,76.757103,238.929993,79.110001,87.610001,34.563087,111.49144,46.296818,108.696144,209.529999,34.995296,121.230003,61.531063,283.730011,296,73.139999,64.466003,284.564728,570.840027,38.490002,169.388077,28.385628,305.902069,20.85,19.84,243.770004,142.737656,60.619267,671.080017,99.908478,55.029999,170.575958,20.99,57.48484,67.010002,64.882813,347.73999,245.40506,129.900208,419.880005,74.001015,84.487656,117.120003,139.757202,35.93,85.588593,336.179993,113.829453,109.870003,7.108948,114.217575,158.690002,83.748817,150.820007,80.940002,127.43,128.162003,121.002884,33.16,274.48999,213.339996,163.671844,230.309998,49.282761,188.149994,66.094215,66.99884,85.883507
1/31/20,8991.509766,58.0979,351.140015,47,99.389999,257.100006,1432.780029,1434.22998,2008.719971,208.687195,107.532707,274.329987,76.600517,57.218117,278.166809,196.850006,167.320251,123.559998,268.850006,83.5,1830.550049,291.829926,72.110001,128.790298,71.050041,517.460022,114.309998,275.474335,44.409229,119.911278,60.367813,42.249218,101.459999,294.63266,75.336044,240.75,78.510002,87.07,33.084347,107.776382,45.844063,108.048546,201.910004,33.775208,118.610001,60.733459,271.01001,290.070007,73.07,62.002583,278.359741,559.780029,37.689999,162.354752,27.684048,293.368835,20.52,19.48,239.389999,139.500641,58.724304,663,95.894829,53.09,168.058472,20.51,56.096607,66.599998,63.450645,345.089996,236.040497,125.2024,406.100006,72.20108,82.968918,113.889999,137.998474,35.220001,83.180244,337.940002,111.845566,108.389999,6.9903,111.190903,155.259995,82.763428,147.509995,79.190002,124.639999,130.113998,117.336433,32.130001,267.910004,208.139999,161.445938,227.050003,48.239235,184.630005,64.653091,67.417816,83.204575
2/3/20,9126.230469,57.829662,358,48.02,100.849998,253.020004,1482.599976,1485.939941,2004.199951,209.488892,107.777657,281.329987,76.39016,58.925087,285.600189,199.259995,169.809692,130.490005,272.730011,84.010002,1839.030029,291.896881,72.830002,131.19928,72.375481,532.049988,113.580002,278.476227,44.950211,121.345612,61.577526,41.730762,100.800003,291.238129,76.086044,237.089996,80.629997,87.510002,33.90258,104.900223,46.431679,107.400963,204.190002,34.714485,121.940002,63.770134,275.769989,293.410004,72.940002,62.477802,280.762299,565.619995,39.200001,166.459152,27.636641,303.43277,20.459999,19.450001,246.369995,140.914963,59.427593,677.97998,95.963684,53.779999,172.155548,20.379999,56.262802,67.419998,65.179535,358,239.934097,124.057556,406.230011,72.327576,83.733116,116.510002,138.474579,35.790001,84.321053,341.119995,113.48053,108.68,7.089174,113.038345,159.880005,83.91468,150.259995,79.459999,124.349998,156,120.01091,32.34,274.959991,210.559998,164.178589,230.509995,48.334099,188.570007,66.37059,67.67115,83.765968
2/4/20,9334.05957,58.823128,366.73999,49.450001,102.940002,256.519989,1445.410034,1447.069946,2049.669922,214.250885,110.187965,289.220001,78.912079,62.171291,296.571838,203.940002,171.742676,131.369995,283.290009,86.07,1864.51001,297.988617,74.419998,134.417801,73.414093,531.75,115.120003,282.37674,46.003204,122.156769,62.384007,43.315472,102.650002,294.03476,76.747231,243.699997,82.019997,88.309998,36.87978,106.927521,46.325722,110.250374,209.830002,35.760273,123.889999,64.769539,279.119995,296,73.879997,63.48645,288.823853,574.070007,40.349998,175.14798,27.636641,320.117432,20.83,19.809999,247.990005,146.811325,60.941608,709.859985,100.056038,55.5,177.822327,20.870001,56.145489,68.879997,67.7966,369.01001,246.722885,128.804688,407.589996,74.117767,85.396957,120.080002,139.16449,36.509998,86.709877,356,115.99279,111.510002,7.128722,115.91761,167.809998,86.226952,155.809998,81.510002,126.93,177.412003,122.996597,34.099998,273.519989,214.479996,167.070267,239.660004,49.652733,194.699997,67.545204,67.525009,84.484947
2/5/20,9367.480469,58.465481,365.549988,49.84,103.650002,267.5,1446.050049,1448.22998,2039.869995,224.035675,114.322693,283.950012,79.55555,62.950775,303.598846,202.080002,174.378555,130.75,332.869995,89,1939.290039,303.516144,74.32,134.309204,77.746529,522.179993,115.519997,287.689301,46.805023,121.424759,63.898609,43.618721,102.160004,297.94046,77.141975,238.539993,80.739998,88.709999,36.603748,107.676521,46.556915,110.688744,210.110001,36.45747,121.669998,63.299259,274.399994,300.350006,76,65.309769,287.721832,576.559998,39.939999,167.78157,27.845222,320.333862,21.07,20,243.899994,147.120102,63.002625,675.840027,106.745461,56.77,177.605148,20.049999,56.624527,68.949997,66.831276,369.670013,250.346893,132.476089,419.209991,75.878769,85.155121,119.720001,140.213898,35.720001,88.640457,372.160004,118.37545,118.300003,7.089174,117.56852,163.880005,85.825058,154.210007,81.790001,120.760002,146.940002,128.802628,33.93,278.179993,213.259995,167.497543,240.759995,50.259872,188.470001,67.229347,67.525009,86.897957
2/6/20,9445.919922,59.866268,367.459991,49.32,104.040001,266.76001,1475.969971,1476.22998,2050.22998,223.562347,113.450676,285.880005,80.486107,62.348896,306.80014,206,175.979599,133.160004,337.23999,88.870003,1960.900024,305.72522,74.540001,132.927032,78.092728,526.559998,117.529999,289.970398,47.03688,120.91037,70.242241,43.628502,102.949997,300.172821,77.290001,239,81.440002,87.940002,37.461418,109.853622,46.489479,111.336334,210.850006,36.699554,121.669998,65.547928,280.670013,301.230011,75.809998,65.387741,292.090088,581.549988,40.380001,168.232193,27.551313,318.267914,21.049999,19.959999,243.779999,145.636047,62.592373,671,106.715958,58.68,181.287552,19.879999,57.113338,69.449997,68.617538,366.950012,253.831161,133.571594,398.130005,75.489586,85.561394,119.889999,140.243057,36.380001,88.347939,389.850006,117.827148,118.639999,7.108948,115.642456,162.669998,84.443008,154.770004,82.769997,127.739998,149.792007,128.880447,34.07,293.049988,216.940002,167.885101,239.119995,50.743694,187.5,67.811714,67.525009,86.39566
